"","X","institute","title","abs"
"11",2,"Duke University","Telehealth Interventions Designed for Women: an Evidence Map.","BACKGROUND: Telehealth employs technology to connect patients to the righthealthcare resources at the right time. Women are high utilizers of healthcarewith gender-specific health issues that may benefit from the convenience andpersonalization of telehealth. Thus, we produced an evidence map describing thequantity, distribution, and characteristics of evidence assessing theeffectiveness of telehealth services designed for women.METHODS: We searched MEDLINE® (via PubMed®) and Embase® from inception throughMarch , . We screened systematic reviews (SRs), randomized trials, andquasi-experimental studies using predetermined eligibility criteria. Articlesmeeting inclusion criteria were identified for data abstraction. To assessemerging trends, we also conducted a targeted search of ClinicalTrials.gov .RESULTS: Two hundred thirty-four primary studies and three SRs were eligible forabstraction. We grouped studies into focused areas of research: maternal health(n = ), prevention (n = ), disease management (n = ), family planning(n = ), high-risk breast cancer assessment (n = ), intimate partner violence(n = ), and mental health (n = ). Most interventions focused on phone as theprimary telehealth modality and featured healthcare team-to-patient communicationand were limited in duration (e.g., <  weeks). Few interventions were conductedwith older women (≥  years) or in racially/ethnically diverse populations.There are few SRs in this area and limited evidence regarding newer telehealthmodalities such as mobile-based applications or short message service/texting.Targeted search of clinical.trials.gov yielded  ongoing studies that show ashift in the use of non-telephone modalities.DISCUSSION: Our systematic evidence map highlights gaps in the existingliterature, such as a lack of studies in key women's health areas (intimatepartner violence, mental health), and a dearth of relevant SRs. With few existingSRs in this literature, there is an opportunity for examining effects,efficiency, and acceptability across studies to inform efforts at implementingtelehealth for women."
"12",4,"Duke University Medical Center","Telehealth Interventions Designed for Women: an Evidence Map.","BACKGROUND: Telehealth employs technology to connect patients to the righthealthcare resources at the right time. Women are high utilizers of healthcarewith gender-specific health issues that may benefit from the convenience andpersonalization of telehealth. Thus, we produced an evidence map describing thequantity, distribution, and characteristics of evidence assessing theeffectiveness of telehealth services designed for women.METHODS: We searched MEDLINE® (via PubMed®) and Embase® from inception throughMarch , . We screened systematic reviews (SRs), randomized trials, andquasi-experimental studies using predetermined eligibility criteria. Articlesmeeting inclusion criteria were identified for data abstraction. To assessemerging trends, we also conducted a targeted search of ClinicalTrials.gov .RESULTS: Two hundred thirty-four primary studies and three SRs were eligible forabstraction. We grouped studies into focused areas of research: maternal health(n = ), prevention (n = ), disease management (n = ), family planning(n = ), high-risk breast cancer assessment (n = ), intimate partner violence(n = ), and mental health (n = ). Most interventions focused on phone as theprimary telehealth modality and featured healthcare team-to-patient communicationand were limited in duration (e.g., <  weeks). Few interventions were conductedwith older women (≥  years) or in racially/ethnically diverse populations.There are few SRs in this area and limited evidence regarding newer telehealthmodalities such as mobile-based applications or short message service/texting.Targeted search of clinical.trials.gov yielded  ongoing studies that show ashift in the use of non-telephone modalities.DISCUSSION: Our systematic evidence map highlights gaps in the existingliterature, such as a lack of studies in key women's health areas (intimatepartner violence, mental health), and a dearth of relevant SRs. With few existingSRs in this literature, there is an opportunity for examining effects,efficiency, and acceptability across studies to inform efforts at implementingtelehealth for women."
"13",7,"National Cancer Institute","Mendelian Randomization and mediation analysis of leukocyte telomere length andrisk of lung and head and neck cancers.","Background: Evidence from observational studies of telomere length (TL) has beenconflicting regarding its direction of association with cancer risk. Weinvestigated the causal relevance of TL for lung and head and neck cancers usingMendelian Randomization (MR) and mediation analyses.Methods: We developed a novel genetic instrument for TL in chromosome p.,using variants identified through deep-sequencing, that were genotyped in cancer-free subjects. Next, we conducted an MR analysis of lung (  cases,  controls) and head and neck cancer ( cases,  controls) using eightgenetic instruments for TL. Lastly, the p. instrument and distinct p.lung cancer risk loci were evaluated using two-sample mediation analysis, toquantify their direct and indirect, telomere-mediated, effects.Results: The multi-allelic p. instrument explained .-.% of TLvariation in our data (p = . × -). The MR analysis estimated that a base-pair increase in TL increases risk of lung cancer [odds ratio (OR) = .,% confidence interval (CI): .-.] and lung adenocarcinoma (OR = ., %CI: .-.), but not squamous lung carcinoma (OR = ., % CI: .-.) orhead and neck cancers (OR = ., % CI: .-.). Mediation analysis of thep. instrument indicated an absence of direct effects on lung cancer risk(OR = ., % CI: .-.). Analysis of distinct p. susceptibilityvariants estimated that TL mediates up to % of the observed associations withlung cancer risk.Conclusions: Our findings support a causal role for long telomeres in lung canceraetiology, particularly for adenocarcinoma, and demonstrate that telomeremaintenance partially mediates the lung cancer susceptibility conferred byp. loci."
"14",15,"The University of Texas MD Anderson Cancer Center","Mendelian Randomization and mediation analysis of leukocyte telomere length andrisk of lung and head and neck cancers.","Background: Evidence from observational studies of telomere length (TL) has beenconflicting regarding its direction of association with cancer risk. Weinvestigated the causal relevance of TL for lung and head and neck cancers usingMendelian Randomization (MR) and mediation analyses.Methods: We developed a novel genetic instrument for TL in chromosome p.,using variants identified through deep-sequencing, that were genotyped in cancer-free subjects. Next, we conducted an MR analysis of lung (  cases,  controls) and head and neck cancer ( cases,  controls) using eightgenetic instruments for TL. Lastly, the p. instrument and distinct p.lung cancer risk loci were evaluated using two-sample mediation analysis, toquantify their direct and indirect, telomere-mediated, effects.Results: The multi-allelic p. instrument explained .-.% of TLvariation in our data (p = . × -). The MR analysis estimated that a base-pair increase in TL increases risk of lung cancer [odds ratio (OR) = .,% confidence interval (CI): .-.] and lung adenocarcinoma (OR = ., %CI: .-.), but not squamous lung carcinoma (OR = ., % CI: .-.) orhead and neck cancers (OR = ., % CI: .-.). Mediation analysis of thep. instrument indicated an absence of direct effects on lung cancer risk(OR = ., % CI: .-.). Analysis of distinct p. susceptibilityvariants estimated that TL mediates up to % of the observed associations withlung cancer risk.Conclusions: Our findings support a causal role for long telomeres in lung canceraetiology, particularly for adenocarcinoma, and demonstrate that telomeremaintenance partially mediates the lung cancer susceptibility conferred byp. loci."
"15",47,"Baylor College of Medicine","Mendelian Randomization and mediation analysis of leukocyte telomere length andrisk of lung and head and neck cancers.","Background: Evidence from observational studies of telomere length (TL) has beenconflicting regarding its direction of association with cancer risk. Weinvestigated the causal relevance of TL for lung and head and neck cancers usingMendelian Randomization (MR) and mediation analyses.Methods: We developed a novel genetic instrument for TL in chromosome p.,using variants identified through deep-sequencing, that were genotyped in cancer-free subjects. Next, we conducted an MR analysis of lung (  cases,  controls) and head and neck cancer ( cases,  controls) using eightgenetic instruments for TL. Lastly, the p. instrument and distinct p.lung cancer risk loci were evaluated using two-sample mediation analysis, toquantify their direct and indirect, telomere-mediated, effects.Results: The multi-allelic p. instrument explained .-.% of TLvariation in our data (p = . × -). The MR analysis estimated that a base-pair increase in TL increases risk of lung cancer [odds ratio (OR) = .,% confidence interval (CI): .-.] and lung adenocarcinoma (OR = ., %CI: .-.), but not squamous lung carcinoma (OR = ., % CI: .-.) orhead and neck cancers (OR = ., % CI: .-.). Mediation analysis of thep. instrument indicated an absence of direct effects on lung cancer risk(OR = ., % CI: .-.). Analysis of distinct p. susceptibilityvariants estimated that TL mediates up to % of the observed associations withlung cancer risk.Conclusions: Our findings support a causal role for long telomeres in lung canceraetiology, particularly for adenocarcinoma, and demonstrate that telomeremaintenance partially mediates the lung cancer susceptibility conferred byp. loci."
"16",4,"Baylor College of Medicine","Integrated Molecular Characterization of Testicular Germ Cell Tumors.","We studied  primary testicular germ cell tumors (TGCTs) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. Thesetumors exhibited high aneuploidy and a paucity of somatic mutations. Somaticmutation of only three genes achieved significance-KIT, KRAS, andNRAS-exclusively in samples with seminoma components. Integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of TGCT: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. Striking differences in global DNA methylation and microRNA expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in TGCTs. We also identified a subset of pureseminomas defined by KIT mutations, increased immune infiltration, globallydemethylated DNA, and decreased KRAS copy number. We report potential biomarkersfor risk stratification, such as miRNA specifically expressed in teratoma, andothers with molecular diagnostic potential, such as CpH (CpA/CpC/CpT) methylationidentifying embryonal carcinomas."
"17",5,"The University of Texas MD Anderson Cancer Center","Integrated Molecular Characterization of Testicular Germ Cell Tumors.","We studied  primary testicular germ cell tumors (TGCTs) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. Thesetumors exhibited high aneuploidy and a paucity of somatic mutations. Somaticmutation of only three genes achieved significance-KIT, KRAS, andNRAS-exclusively in samples with seminoma components. Integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of TGCT: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. Striking differences in global DNA methylation and microRNA expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in TGCTs. We also identified a subset of pureseminomas defined by KIT mutations, increased immune infiltration, globallydemethylated DNA, and decreased KRAS copy number. We report potential biomarkersfor risk stratification, such as miRNA specifically expressed in teratoma, andothers with molecular diagnostic potential, such as CpH (CpA/CpC/CpT) methylationidentifying embryonal carcinomas."
"18",6,"Memorial Sloan Kettering Cancer Center","Integrated Molecular Characterization of Testicular Germ Cell Tumors.","We studied  primary testicular germ cell tumors (TGCTs) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. Thesetumors exhibited high aneuploidy and a paucity of somatic mutations. Somaticmutation of only three genes achieved significance-KIT, KRAS, andNRAS-exclusively in samples with seminoma components. Integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of TGCT: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. Striking differences in global DNA methylation and microRNA expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in TGCTs. We also identified a subset of pureseminomas defined by KIT mutations, increased immune infiltration, globallydemethylated DNA, and decreased KRAS copy number. We report potential biomarkersfor risk stratification, such as miRNA specifically expressed in teratoma, andothers with molecular diagnostic potential, such as CpH (CpA/CpC/CpT) methylationidentifying embryonal carcinomas."
"19",8,"University of California","Integrated Molecular Characterization of Testicular Germ Cell Tumors.","We studied  primary testicular germ cell tumors (TGCTs) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. Thesetumors exhibited high aneuploidy and a paucity of somatic mutations. Somaticmutation of only three genes achieved significance-KIT, KRAS, andNRAS-exclusively in samples with seminoma components. Integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of TGCT: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. Striking differences in global DNA methylation and microRNA expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in TGCTs. We also identified a subset of pureseminomas defined by KIT mutations, increased immune infiltration, globallydemethylated DNA, and decreased KRAS copy number. We report potential biomarkersfor risk stratification, such as miRNA specifically expressed in teratoma, andothers with molecular diagnostic potential, such as CpH (CpA/CpC/CpT) methylationidentifying embryonal carcinomas."
"20",1,"Baylor College of Medicine","Interactions Between Genetic Variants and Environmental Factors Affect Risk ofEsophageal Adenocarcinoma and Barrett's Esophagus.","BACKGROUND & AIMS: Genome-wide association studies (GWAS) have identified morethan  susceptibility loci for esophageal adenocarcinoma (EA) and Barrett'sesophagus (BE). However, variants in these loci account for a small fraction ofcases of EA and BE. Genetic factors might interact with environmental factors toaffect risk of EA and BE. We aimed to identify single nucleotide polymorphisms(SNPs) that may modify the associations of body mass index (BMI), smoking, andgastroesophageal reflux disease (GERD), with risks of EA and BE.METHODS: We collected data on single BMI measurements, smoking status, andsymptoms of GERD from  patients with EA,  patients with BE, and healthy individuals (controls) participating in the Barrett's and EsophagealAdenocarcinoma Consortium GWAS, the UK Barrett's Esophagus Gene Study, and the UKStomach and Oesophageal Cancer Study. We analyzed , SNPs in DNA samples ofall study subjects. We used standard case-control logistic regression to test forgene-environment interactions.RESULTS: For EA, rs at chromosome p., near the RNFA-LOCgene, showed a borderline significant interaction with smoking status (P =.×-). Ever smoking was associated with an almost -fold increase in riskof EA among individuals with rs-AA genotype (odds ratio=.; % CI,.-.). Three SNPs (rs, rs, rs) at chromosome q.,near the RND-RBM gene, interacted with GERD symptoms (P = .×-, P =.×-, and P = .×-, respectively) to affect risk of EA. For BE,rs at chromosome p., near the EIFC gene, and rs at chromosomeq, at the SLCA gene, interacted with BMI (P = .×-) and pack-years ofsmoking history (P = .×-), respectively.CONCLUSION: The associations of BMI, smoking, and GERD symptoms with risks of EAand BE appear to vary with SNPs at chromosomes , , and . Validation of thesesuggestive interactions is warranted."
"21",2,"University of Washington","Interactions Between Genetic Variants and Environmental Factors Affect Risk ofEsophageal Adenocarcinoma and Barrett's Esophagus.","BACKGROUND & AIMS: Genome-wide association studies (GWAS) have identified morethan  susceptibility loci for esophageal adenocarcinoma (EA) and Barrett'sesophagus (BE). However, variants in these loci account for a small fraction ofcases of EA and BE. Genetic factors might interact with environmental factors toaffect risk of EA and BE. We aimed to identify single nucleotide polymorphisms(SNPs) that may modify the associations of body mass index (BMI), smoking, andgastroesophageal reflux disease (GERD), with risks of EA and BE.METHODS: We collected data on single BMI measurements, smoking status, andsymptoms of GERD from  patients with EA,  patients with BE, and healthy individuals (controls) participating in the Barrett's and EsophagealAdenocarcinoma Consortium GWAS, the UK Barrett's Esophagus Gene Study, and the UKStomach and Oesophageal Cancer Study. We analyzed , SNPs in DNA samples ofall study subjects. We used standard case-control logistic regression to test forgene-environment interactions.RESULTS: For EA, rs at chromosome p., near the RNFA-LOCgene, showed a borderline significant interaction with smoking status (P =.×-). Ever smoking was associated with an almost -fold increase in riskof EA among individuals with rs-AA genotype (odds ratio=.; % CI,.-.). Three SNPs (rs, rs, rs) at chromosome q.,near the RND-RBM gene, interacted with GERD symptoms (P = .×-, P =.×-, and P = .×-, respectively) to affect risk of EA. For BE,rs at chromosome p., near the EIFC gene, and rs at chromosomeq, at the SLCA gene, interacted with BMI (P = .×-) and pack-years ofsmoking history (P = .×-), respectively.CONCLUSION: The associations of BMI, smoking, and GERD symptoms with risks of EAand BE appear to vary with SNPs at chromosomes , , and . Validation of thesesuggestive interactions is warranted."
